,Numero Contratti,Volume Ultimo,Volume totale,Prezzo ufficiale,Rendimento effettivo a scadenza netto,Rendimento effettivo a scadenza lordo,Duration modificata,Scadenza,Tasso Cedola su base Annua,anni_scadenza,median_monthly_volume_million,min_monthly_volume_million,max_monthly_volume_million,ratings
FR0012517027,0.0,0.0,0.0,,,,,,,,6.59,1.56,27.06,80
DE0001102390,1.0,30000.0,30000.0,99.304,1.76,1.83,0.5,2026-02-15,0.5,0.51,6.2,2.13,12.54,80
XS2932806065,0.0,0.0,0.0,104.35726,2.65,3.87,4.57,2030-12-11,4.75,5.33,6.15,0.0,34.93,80
EU000A3KWCF4,6.0,20500.0,167500.0,93.28858,2.24,2.24,3.07,2028-10-04,,3.14,6.11,3.32,9.86,80
EU000A3K4DV0,4.0,1000.0,15000.0,96.49652,3.24,3.68,12.45,2042-11-04,3.375,17.24,6.1,1.59,9.36,80
XS2049317808,6.0,10000.0,137000.0,99.9432,2.25,3.02,1.12,2026-10-18,3.0,1.18,6.09,2.37,7.42,80
XS0975634204,3.0,10000.0,100000.0,101.34554,2.45,2.83,7.0,2033-10-14,3.0,8.17,5.98,0.69,13.69,80
DE000BU2Z023,1.0,20000.0,20000.0,96.99524,2.34,2.62,7.56,2034-02-15,2.2,8.51,5.83,0.47,19.99,79
XS2178857954,17.0,37000.0,381000.0,96.5502,3.99,4.46,4.25,2030-05-26,3.624,4.78,5.81,4.3,12.17,79
IT0005652513,6.0,25000.0,127000.0,101.15667,2.33,2.7,3.37,2033-07-08,3.4,7.9,5.8,1.98,9.62,79
DE0001102481,6.0,30000.0,190000.0,45.46034,3.23,3.23,24.24,2050-08-15,,25.02,5.73,2.37,10.08,79
DE0001102606,4.0,20000.0,61000.0,95.24,2.25,2.47,6.38,2032-08-15,1.7,7.01,5.56,0.44,12.2,79
IT0006756438,0.0,0.0,0.0,,,,,,,,5.55,3.35,13.91,79
DE0001102523,4.0,10000.0,40000.0,95.73795,1.96,1.96,2.21,2027-11-15,,2.25,5.49,1.62,12.1,79
FR001400BKZ3,6.0,13927.0,68927.0,93.36997,2.8,3.07,6.53,2032-11-25,2.0,7.29,5.49,1.21,10.12,79
FR0010171975,27.0,2000.0,478500.0,96.67019,3.72,4.23,16.73,2055-04-25,4.0,29.72,5.42,2.37,13.15,79
DE0001141844,9.0,60000.0,203511.0,97.87072,1.89,1.89,1.13,2026-10-09,,1.15,5.37,1.81,11.61,78
XS2388495942,2.0,20000.0,45000.0,97.6,1.83,1.83,1.33,2026-12-22,,1.36,5.37,1.55,12.38,78
XS2395580892,10.0,8000.0,125000.0,98.55171,2.36,2.95,2.09,2027-11-03,2.25,2.22,5.3,1.67,8.35,78
DE0001135481,2.0,4000.0,6000.0,90.82681,2.83,3.16,14.57,2044-07-04,2.5,18.9,5.29,0.95,8.05,78
IT0005127508,2.0,15000.0,65000.0,100.13893,,,,2025-09-10,4.209,0.07,5.13,0.61,7.72,78
XS2717294487,5.0,2000.0,61000.0,106.68149,3.35,5.07,3.62,2029-12-12,6.75,4.33,4.95,1.16,7.05,78
XS2999552909,15.0,19000.0,271000.0,104.24195,4.85,5.61,6.7,2034-09-10,6.25,9.08,4.91,1.53,12.53,78
EU000A3K4DW8,2.0,330000.0,350000.0,99.69819,2.45,2.81,6.58,2033-02-04,2.75,7.48,4.82,1.75,6.72,78
FR001400X8V5,9.0,30000.0,658000.0,98.49259,3.0,3.41,8.2,2035-05-25,3.2,9.78,4.82,0.26,9.39,78
DE0001030716,3.0,8789.0,718789.0,99.67138,1.78,1.78,0.16,2025-10-10,,0.16,4.81,1.65,8.69,78
ES0000012L29,0.0,0.0,0.0,100.57429,1.66,2.01,0.78,2026-05-31,2.8,0.79,4.77,1.38,9.99,78
AT0000A2VB47,5.0,42000.0,68000.0,93.22879,2.24,2.25,3.12,2028-10-20,,3.19,4.73,1.94,9.01,77
NL0011220108,0.0,0.0,0.0,,,,,,,,4.68,0.67,9.39,77
ES00000126Z1,0.0,0.0,0.0,,,,,,,,4.59,1.69,7.0,77
XS2799786848,17.0,15000.0,229000.0,103.34115,2.5,3.68,3.47,2029-06-21,4.625,3.85,4.39,3.2,9.1,77
DE0001102341,2.0,9000.0,29000.0,90.00096,2.85,3.18,15.38,2046-08-15,2.5,21.02,4.35,0.79,6.91,77
ES0000012M93,15.0,4000.0,301000.0,98.32103,3.62,4.13,16.39,2054-10-31,4.0,29.23,4.35,1.73,13.45,77
ES0000012K61,5.0,16000.0,167000.0,97.77272,2.6,2.92,6.36,2032-10-31,2.55,7.22,4.24,1.44,8.35,77
XS2535352962,2.0,17000.0,47000.0,99.59523,2.16,2.45,4.27,2030-03-15,2.25,4.59,4.15,1.01,10.04,77
XS2668070662,4.0,7000.0,33000.0,105.23637,3.05,4.71,2.71,2028-10-05,6.5,3.15,4.09,1.26,6.37,77
XS2419364653,13.0,2000.0,175000.0,96.02574,1.67,1.67,2.22,2027-11-15,,2.25,4.08,0.78,7.58,77
DE000BU2D004,4.0,10000.0,95000.0,86.00775,2.93,3.27,18.76,2054-08-15,2.5,29.02,4.07,0.59,16.03,76
FR0013200813,17.0,24987.0,173000.0,97.81872,1.95,1.98,1.25,2026-11-25,0.25,1.28,4.01,1.4,8.23,76
FR0013313582,2.0,18000.0,36000.0,84.76382,3.11,3.28,8.04,2034-05-25,1.25,8.78,3.94,0.73,8.39,76
XS2770920937,11.0,10000.0,233000.0,102.66544,4.14,4.8,4.68,2031-03-22,5.375,5.61,3.9,2.53,7.59,76
XS1892127470,20.0,13000.0,449000.0,82.15631,5.54,6.13,9.52,2039-03-11,4.125,13.58,3.9,1.61,4.83,76
FR0013516549,8.0,31000.0,77001.0,86.6937,2.73,2.74,5.14,2030-11-25,,5.28,3.89,1.15,7.51,76
ES0000012O67,5.0,15000.0,79000.0,99.55895,2.84,3.24,8.18,2035-04-30,3.15,9.72,3.84,0.0,6.47,76
DE000BU22015,0.0,0.0,0.0,,,,,,,,3.79,0.65,12.48,76
IT0004848476,4.0,10000.0,152000.0,95.45535,1.87,2.13,2.17,2027-11-01,,2.22,3.7,1.59,46.95,76
IT0005188351,10.0,6000.0,127000.0,100.94834,1.6,2.58,0.82,2026-06-16,,0.84,3.69,0.99,6.79,75
ES0000012E51,2.0,1000.0,11000.0,96.82074,2.18,2.37,3.54,2029-04-30,1.45,3.71,3.69,0.52,10.72,75
XS2971936948,9.0,61000.0,190000.0,101.563,3.72,4.28,7.15,2034-06-16,4.5,8.84,3.67,1.14,6.89,75
EU000A3K4ES4,2.0,3000.0,7000.0,99.70025,2.67,3.04,7.86,2034-12-04,3.0,9.31,3.66,0.7,9.24,75
XS2215041513,0.0,0.0,0.0,,,,,,,,3.65,2.72,12.95,75
BE0000351602,10.0,24305.0,71815.0,95.62048,2.09,2.09,2.14,2027-10-22,,2.19,3.63,1.32,6.37,75
XS2829713309,2.0,3000.0,8000.0,101.08658,2.85,3.88,7.28,2034-09-25,4.0,9.12,3.61,0.39,21.26,75
DE0001102416,3.0,20000.0,82643.0,97.58884,1.86,1.91,1.48,2027-02-15,0.25,1.51,3.61,0.29,15.1,75
ES00000128Q6,4.0,20000.0,74000.0,95.5875,2.71,3.01,7.12,2033-07-30,2.35,7.96,3.6,0.49,13.59,75
ES00000127G9,0.0,0.0,0.0,99.983,1.75,2.02,0.21,2025-10-31,2.15,0.21,3.57,0.05,8.46,75
XS2982308285,14.0,30000.0,269500.0,98.34875,2.75,3.73,10.48,2040-06-05,7.0,14.82,3.57,1.33,5.35,75
FR0014007L00,12.0,38910.0,148462.0,81.96806,2.97,3.0,6.59,2032-05-25,,6.78,3.57,1.11,11.04,75
FR0013154044,4.0,36000.0,88297.0,80.14907,3.34,3.52,9.69,2036-05-25,1.25,10.79,3.55,1.36,4.93,74
EU000A3K4DJ5,0.0,0.0,0.0,,,,,,,,3.55,1.23,11.5,74
AT0000A2KQ43,5.0,1000.0,36000.0,59.72311,3.47,3.47,14.69,2040-10-20,,15.19,3.52,1.44,5.52,74
DE000BU2Z007,3.0,2000.0,27000.0,98.79172,2.24,2.53,6.73,2033-02-15,2.3,7.51,3.51,1.09,15.19,74
FR0010870956,6.0,13288.0,55288.0,95.24914,3.76,4.28,17.94,2060-04-25,4.0,34.72,3.5,0.78,9.65,74
XS2289795465,13.0,5000.0,129000.0,99.51374,2.34,3.02,1.45,2027-02-19,2.625,1.52,3.49,1.3,8.18,74
XS2982321460,1.0,26000.0,26000.0,102.66,2.54,3.54,7.69,2035-04-24,6.0,9.7,3.43,0.36,18.8,74
FR001400L834,0.0,0.0,0.0,102.0,2.77,3.21,6.95,2033-11-25,3.5,8.29,3.38,0.48,6.28,74
AT0000A10683,6.0,9000.0,127000.0,96.10071,2.65,2.96,7.73,2034-05-23,2.4,8.78,3.24,0.79,8.57,74
IT0004848443,3.0,10000.0,50000.0,97.72889,1.66,1.89,1.2,2026-11-01,,1.22,3.23,0.95,6.07,74
XS0807336077,2.0,2000.0,12000.0,100.021,1.77,2.1,0.09,2025-09-15,2.75,0.09,3.15,0.15,6.06,73
XS1313004928,13.0,2000.0,98000.0,85.72371,5.26,5.79,7.74,2035-10-29,3.875,10.21,3.12,1.64,6.42,73
FR001400AIN5,2.0,30000.0,40000.0,96.43936,2.08,2.21,2.46,2028-02-25,0.75,2.53,3.11,0.67,4.59,73
XS0884635524,1.0,27000.0,27000.0,98.91508,2.54,2.89,11.72,2040-03-15,2.75,14.59,3.11,0.53,7.36,73
EU000A3L4C16,7.0,49000.0,342000.0,99.45145,2.12,2.41,4.02,2029-12-14,2.25,4.34,3.1,0.63,7.93,73
DE0001102622,3.0,5000.0,100000.0,99.58835,1.94,2.21,3.97,2029-11-15,2.1,4.26,3.06,1.15,8.13,73
IT0001200390,2.0,50000.0,60000.0,93.59,1.59,2.7,2.45,2028-02-17,,2.51,2.99,1.09,3.75,73
DE000BU2Z049,2.0,40000.0,60000.0,98.45944,2.38,2.7,8.23,2035-02-15,2.5,9.51,2.94,1.15,11.71,73
FR0013341682,2.0,10000.0,13000.0,94.95,2.27,2.38,3.17,2028-11-25,0.75,3.28,2.93,1.76,9.74,73
FR001400HI98,1.0,2000.0,2000.0,101.10397,2.09,2.44,3.3,2029-02-25,2.75,3.54,2.91,0.17,7.16,72
IT0005583643,9.0,20000.0,160000.0,98.06143,2.3,3.08,1.18,2037-02-19,7.7,11.53,2.91,0.82,5.48,72
FR001400FYQ4,0.0,0.0,0.0,100.52923,1.65,1.99,1.07,2026-09-24,2.5,1.11,2.9,0.66,7.06,72
FR0014002WK3,5.0,26983.0,143983.0,83.61664,2.87,2.89,6.11,2031-11-25,,6.28,2.9,1.1,5.39,72
ES0000012B88,7.0,20000.0,588000.0,97.66604,2.06,2.25,2.86,2028-07-30,1.4,2.96,2.88,1.07,66.21,72
XS2330503694,10.0,20000.0,133000.0,79.19892,5.12,5.42,6.7,2033-04-14,2.0,7.67,2.86,1.41,4.6,72
EU000A3K4DS6,4.0,50000.0,232000.0,99.86,1.83,2.09,2.04,2027-10-04,2.0,2.14,2.86,0.67,4.44,72
DE0001102457,1.0,53000.0,53000.0,94.905,1.99,2.04,2.93,2028-08-15,0.25,3.01,2.81,0.36,14.15,72
XS2262211076,17.0,35000.0,281000.0,89.31774,3.97,4.16,4.0,2029-12-02,1.375,4.3,2.8,1.45,5.1,72
IT0005595373,7.0,5000.0,79000.0,103.87036,2.45,3.67,3.38,2029-06-05,4.75,3.81,2.75,0.4,4.71,72
FR0013131877,3.0,25000.0,75000.0,98.87,1.87,1.94,0.77,2026-05-25,0.5,0.78,2.75,0.33,4.42,72
XS2538441598,6.0,11000.0,311000.0,108.84756,3.44,4.23,3.43,2029-09-27,6.625,4.12,2.72,1.24,5.69,71
XS1420357318,8.0,5000.0,54000.0,98.71209,3.02,3.39,2.61,2028-05-26,2.875,2.78,2.72,1.54,8.05,71
XS2922764191,7.0,2000.0,40000.0,99.00152,3.51,4.0,10.41,2039-10-22,3.875,14.2,2.7,0.97,3.84,71
XS2999533271,2.0,5000.0,10000.0,103.48899,3.75,4.39,3.92,2030-03-10,5.25,4.57,2.67,0.5,6.86,71
XS2377768366,3.0,88000.0,97000.0,99.35867,2.34,2.96,1.09,2026-10-07,2.375,1.15,2.63,1.33,4.98,71
XS1934867547,2.0,9000.0,123000.0,99.3694,2.18,2.44,1.27,2026-12-08,2.0,1.32,2.62,0.54,4.69,71
IT0004848492,4.0,10000.0,20000.0,85.5,2.45,2.78,5.56,2031-05-01,,5.72,2.61,0.85,3.8,71
XS2587298204,1.0,8000.0,8000.0,101.65457,1.82,2.16,2.82,2028-07-28,2.75,2.96,2.61,0.71,4.35,71
XS2434895558,9.0,21000.0,142000.0,97.05393,2.99,3.26,2.42,2028-03-07,2.125,2.56,2.58,0.92,4.11,71
DE000BU22023,0.0,0.0,0.0,100.07,1.69,2.06,0.1,2025-09-18,3.1,0.1,2.57,0.53,7.91,71
XS2746103014,6.0,15000.0,48000.0,100.00341,3.59,4.11,12.44,2044-01-11,4.125,18.42,2.56,0.92,5.71,70
DE000BU22049,1.0,40000.0,40000.0,100.33361,1.61,1.92,0.59,2026-03-19,2.5,0.59,2.56,0.56,7.58,70
EU000A3K4EY2,1.0,15000.0,15000.0,89.57613,3.54,4.0,17.1,2054-10-05,3.375,29.16,2.53,0.91,6.1,70
IT0005592818,4.0,10000.0,50000.0,94.06693,2.54,3.24,0.97,2037-04-17,9.4,11.68,2.53,1.66,4.69,70
DE0001102515,2.0,10000.0,30000.0,76.91475,2.75,2.75,9.5,2035-05-15,,9.76,2.51,0.65,6.37,70
AT0000A0VRQ6,6.0,3000.0,68000.0,95.33517,3.12,3.52,13.82,2044-06-20,3.15,18.86,2.5,0.81,6.03,70
DE0001102432,1.0,4000.0,4000.0,68.97953,3.02,3.22,18.44,2048-08-15,1.25,23.02,2.5,1.06,3.53,70
ES00000127A2,3.0,3000.0,108000.0,97.23854,2.32,2.57,4.65,2030-07-30,1.95,4.96,2.45,1.64,4.08,70
FR001400OHF4,10.0,4858.0,182858.0,83.61557,3.78,4.25,17.55,2055-05-25,3.25,29.8,2.45,0.4,9.12,70
EU000A4D6KN5,3.0,5000.0,105000.0,99.85,2.14,2.45,4.42,2030-05-15,2.375,4.75,2.44,0.63,3.45,70
IT0004976525,3.0,20000.0,72300.0,93.32337,2.03,2.31,2.98,2028-09-01,,3.05,2.37,0.71,5.1,69
XS1183208328,5.0,5000.0,83000.0,92.22135,2.38,2.52,5.3,2031-03-14,1.0,5.58,2.37,0.59,4.17,69
XS1503043694,2.0,15000.0,19000.0,91.93,2.3,2.34,3.97,2029-09-14,0.25,4.09,2.34,0.46,3.32,69
ES0000012L52,0.0,0.0,0.0,101.694,2.59,2.99,6.72,2033-04-30,3.15,7.72,2.33,0.07,3.64,69
EU000A3L2773,4.0,4000.0,104000.0,98.28,2.56,2.9,7.75,2034-09-04,2.625,9.06,2.3,0.19,4.27,69
XS2343538372,1.0,32000.0,32000.0,93.37083,2.2,2.2,3.06,2028-09-28,,3.13,2.3,0.7,3.52,69
XS2258400162,5.0,32000.0,59000.0,64.6903,5.86,6.29,11.03,2040-12-02,2.625,15.31,2.29,0.59,5.06,69
EU000A3L1DJ0,8.0,10000.0,58000.0,99.05,2.37,2.7,5.66,2031-12-04,2.5,6.31,2.28,0.67,4.68,69
XS2364199757,20.0,20000.0,819000.0,88.11876,4.25,4.48,4.53,2030-07-13,1.75,4.92,2.28,1.28,3.89,69
AT0000A1FAP5,1.0,4000.0,4000.0,99.8,1.72,1.88,0.18,2025-10-20,1.2,0.18,2.27,0.17,3.5,69
XS2330514899,9.0,15000.0,121000.0,65.03266,5.89,6.35,11.26,2041-04-14,2.75,15.68,2.27,0.99,4.62,69
DE0001102424,0.0,0.0,0.0,97.23314,1.86,1.94,1.95,2027-08-15,0.5,2.0,2.25,0.28,6.47,68
XS1768074319,2.0,1000.0,3000.0,76.56956,5.62,6.12,9.26,2038-02-08,3.375,12.5,2.2,0.91,2.95,68
EU000A3K4EU0,4.0,21500.0,52681.0,90.51607,3.45,3.89,15.89,2050-02-04,3.25,24.49,2.15,0.32,4.39,68
BE0000334434,0.0,0.0,0.0,,,,,,,,2.13,0.75,5.12,68
XS1892141620,4.0,21000.0,62000.0,97.0,3.43,3.81,3.28,2029-03-11,2.875,3.58,2.11,0.73,4.96,68
DE0001135275,4.0,50000.0,911000.0,111.32222,2.37,2.84,9.04,2037-01-04,4.0,11.4,2.09,0.9,3.95,68
ES0000012F43,4.0,1000.0,34000.0,92.59725,2.39,2.47,4.05,2029-10-31,0.6,4.22,2.09,0.97,2.77,68
ES0000012N35,2.0,15000.0,30000.0,102.14909,2.76,3.19,7.62,2034-10-31,3.45,9.22,2.06,0.21,5.08,68
XS2434895806,1.0,2000.0,2000.0,87.96488,5.04,5.54,6.82,2034-02-07,3.75,8.49,2.04,0.89,3.92,68
FR0012993103,4.0,14000.0,60000.0,93.0,2.62,2.82,5.4,2031-05-25,1.5,5.78,2.04,0.43,10.56,68
FR0013407236,2.0,10000.0,15000.0,93.01037,2.41,2.48,3.66,2029-05-25,0.5,3.78,2.02,0.76,5.11,67
IT0005652042,0.0,0.0,0.0,100.35,2.03,2.77,1.64,2032-06-30,4.5,6.88,2.02,0.37,3.67,67
NL0015000QL2,0.0,0.0,0.0,99.23413,1.91,1.91,0.42,2026-01-15,,0.42,2.02,0.37,3.56,67
XS2393520734,1.0,4000.0,4000.0,98.75815,2.27,2.86,2.11,2027-11-10,2.25,2.24,1.99,0.44,3.19,67
ES00000127Z9,6.0,3000.0,210000.0,99.972,1.68,1.93,0.7,2026-04-30,1.95,0.71,1.98,0.31,3.72,67
XS1107718279,1.0,30000.0,30000.0,99.16395,1.79,1.96,1.21,2026-11-13,1.25,1.25,1.98,0.45,2.7,67
FR0011317783,0.0,0.0,0.0,101.32482,1.8,2.14,2.07,2027-10-25,2.75,2.2,1.96,0.39,2.93,67
DE000BU25000,0.0,0.0,0.0,100.54344,1.73,2.01,2.55,2028-04-13,2.2,2.67,1.95,0.17,5.95,67
BE0000361700,1.0,2000.0,2000.0,88.89281,3.68,4.16,17.46,2055-06-22,3.5,29.87,1.93,0.76,3.77,67
DE0001102440,1.0,20000.0,20000.0,96.59,1.91,1.98,2.44,2028-02-15,0.5,2.51,1.92,0.22,4.15,66
XS2439543047,0.0,0.0,0.0,92.0,2.02,2.03,4.17,2029-11-15,0.05,4.26,1.92,0.36,2.36,66
XS0878008225,8.0,79000.0,187000.0,98.05,2.53,2.86,8.26,2035-03-15,2.625,9.59,1.91,0.52,3.91,66
DE0001135366,0.0,0.0,0.0,120.11,2.51,3.04,11.01,2040-07-04,4.75,14.9,1.91,0.23,5.04,66
XS2455938212,15.0,26000.0,282000.0,100.65269,2.36,3.26,2.57,2028-05-17,3.5,2.76,1.9,1.29,4.55,66
FR0014004J31,2.0,100000.0,110000.0,44.2872,4.02,4.18,22.38,2053-05-25,0.75,27.8,1.89,0.67,4.76,66
DE0001102473,2.0,5000.0,8000.0,91.88707,2.15,2.15,3.92,2029-08-15,,4.01,1.89,0.58,3.69,66
AT0000A308C5,0.0,0.0,0.0,100.097,1.7,1.96,0.9,2026-07-15,2.0,0.92,1.88,0.31,3.12,66
EU000A3K4DT4,3.0,5000.0,15000.0,76.52418,3.57,3.95,17.61,2052-10-04,2.5,27.16,1.88,0.06,3.45,66
DE0001030740,0.0,0.0,0.0,98.73,1.77,1.94,2.09,2027-10-15,1.3,2.17,1.87,0.15,6.21,66
DE0001141851,3.0,1000000.0,1030000.0,96.90481,1.92,1.92,1.64,2027-04-16,,1.67,1.86,0.57,3.17,65
XS2982293156,7.0,5000.0,103000.0,100.0,2.85,3.71,9.63,2035-08-04,4.4,9.98,1.86,1.86,1.86,65
IT0005617375,0.0,0.0,0.0,101.64,2.43,3.34,1.64,2037-10-14,5.2,12.18,1.86,0.16,64.15,65
FR0013410552,1.0,5000.0,5000.0,98.04,1.92,2.53,2.59,2029-03-01,0.1,3.55,1.86,0.11,6.57,65
DE0001102598,3.0,999.0,30999.0,79.326,2.83,2.97,11.56,2038-05-15,1.0,12.76,1.82,0.7,10.98,65
FR0013250560,1.0,100000.0,100000.0,98.22,1.93,2.05,1.73,2027-05-25,1.0,1.78,1.81,0.38,3.32,65
XS1509006208,1.0,24000.0,24000.0,98.979,1.93,1.93,0.57,2026-03-13,,0.58,1.79,0.19,5.34,65
XS3021378032,1.0,19000.0,19000.0,103.14971,4.57,5.29,5.51,2032-07-11,5.875,6.91,1.79,0.64,4.25,65
IT0005645129,0.0,0.0,0.0,100.21,2.56,3.48,0.97,2035-04-10,4.75,9.66,1.78,0.03,2.2,65
DE0001102549,2.0,3000.0,5000.0,73.93791,2.84,2.84,10.46,2036-05-15,,10.76,1.77,0.09,3.95,65
XS2168048564,2.0,10000.0,30000.0,96.38692,2.01,2.01,1.8,2027-06-17,,1.84,1.77,0.66,4.5,65
BE0000358672,2.0,378.0,10378.0,86.51932,3.67,4.13,17.4,2054-06-22,3.3,28.87,1.76,0.63,3.96,65
XS2890435600,6.0,25000.0,80000.0,101.26592,3.66,4.2,12.43,2044-09-05,4.25,19.07,1.75,0.43,4.0,64
EU000A3K4D09,0.0,0.0,0.0,95.08947,2.91,3.27,10.03,2037-12-04,2.75,12.32,1.74,0.09,2.59,64
AT0000A1PEF7,3.0,15000.0,35000.0,47.56043,3.35,3.68,28.3,1986-11-02,1.5,-38.81,1.74,0.31,3.72,64
DE0001135226,2.0,997.0,7997.0,117.48,2.08,2.62,7.36,2034-07-04,4.75,8.89,1.74,0.16,8.14,64
IT0004848484,1.0,6000.0,6000.0,90.27658,2.16,2.46,4.12,2029-11-01,,4.22,1.72,1.12,3.3,64
XS1599193403,7.0,12000.0,86000.0,99.45629,2.43,2.73,1.61,2027-04-19,2.375,1.68,1.72,0.61,4.51,64
XS2109812508,4.0,12000.0,34000.0,83.44171,4.77,5.05,5.72,2032-01-28,2.0,6.46,1.71,0.74,2.4,64
XS2364200514,4.0,1000.0,17000.0,64.9447,5.86,6.34,11.63,2042-04-13,2.875,16.67,1.7,0.86,2.79,64
XS2331288212,0.0,0.0,0.0,98.8918,2.45,3.11,1.67,2027-05-13,2.5,1.75,1.7,0.37,2.66,64
AT0000A2CQD2,3.0,19000.0,29000.0,89.65,2.46,2.46,4.41,2030-02-20,,4.52,1.69,0.72,2.22,63
DE0001102580,5.0,1000.0,52369.0,85.81,2.42,2.42,6.36,2032-02-15,,6.51,1.69,0.47,3.47,63
ES0000012M77,0.0,0.0,0.0,100.76,1.77,2.09,1.73,2027-05-31,2.5,1.79,1.69,0.16,2.34,63
DE0001102564,1.0,1000.0,1000.0,87.14,2.36,2.36,5.88,2031-08-15,,6.01,1.69,0.41,181.28,63
DE0001102507,4.0,110000.0,170000.0,89.4455,2.26,2.26,4.9,2030-08-15,,5.01,1.68,0.41,16.62,63
DE0001135432,4.0,50000.0,67000.0,102.65,2.71,3.11,12.86,2042-07-04,3.25,16.9,1.68,0.5,5.03,63
XS1791485011,0.0,0.0,0.0,97.13957,2.02,2.13,2.34,2028-01-14,0.875,2.42,1.68,0.57,2.19,63
XS0098449456,2.0,20000.0,30000.0,105.6,2.1,2.61,0.97,2029-06-28,4.25,3.87,1.67,0.21,2.69,63
XS2586944147,0.0,0.0,0.0,101.44877,3.61,4.13,11.99,2043-02-14,4.25,17.52,1.66,0.61,3.89,63
ES00000128C6,1.0,200000.0,200000.0,85.93333,3.5,3.9,14.69,2046-10-31,2.9,21.23,1.65,0.41,4.01,63
AT0000A324S8,1.0,15000.0,15000.0,100.58804,2.47,2.84,6.6,2033-02-20,2.9,7.53,1.65,0.19,3.09,63
FR0013234333,5.0,14000.0,54000.0,79.17,3.47,3.72,11.74,2039-06-25,1.75,13.87,1.64,0.27,2.04,62
FR0013515806,6.0,31000.0,65560.0,63.204,3.74,3.82,13.58,2040-05-25,0.5,14.79,1.63,0.29,5.79,62
AT0000A1ZGE4,0.0,0.0,0.0,96.68,2.05,2.15,2.45,2028-02-20,0.75,2.52,1.63,0.63,2.93,62
EU000A3LZ0X9,8.0,11000.0,132000.0,99.25484,3.1,3.54,10.75,2039-10-04,3.375,14.15,1.63,0.13,4.65,62
XS2680932907,2.0,1000.0,11000.0,108.42941,3.49,4.14,6.27,2033-09-12,5.375,8.08,1.63,0.71,2.37,62
XS1878833695,0.0,0.0,0.0,99.5,1.51,1.57,0.74,2026-05-15,0.375,0.75,1.61,0.03,4.58,62
AT0000A1VGK0,4.0,20000.0,34000.0,97.6025,1.9,1.96,1.64,2027-04-20,0.5,1.68,1.6,0.33,2.62,62
AT0000A33SK7,5.0,4000.0,81000.0,90.15391,3.32,3.74,17.37,2053-10-20,3.15,28.2,1.59,0.55,5.94,62
DE0001102499,0.0,0.0,0.0,90.62,2.22,2.22,4.41,2030-02-15,,4.51,1.59,0.52,5.72,62
XS1341083555,3.0,7000.0,28000.0,100.48677,1.41,2.29,0.45,2026-01-26,3.423,0.45,1.59,0.32,4.07,62
ES0000012M85,1.0,4000.0,4000.0,101.22,2.72,3.13,7.44,2034-04-30,3.25,8.72,1.57,0.31,4.56,61
ES00000128H5,2.0,6000.0,10000.0,99.07,1.86,2.02,1.18,2026-10-31,1.3,1.21,1.56,0.28,2.82,61
FR0010371401,0.0,0.0,0.0,103.47273,3.19,3.68,9.88,2038-10-25,4.0,13.21,1.56,0.47,3.06,61
FR0013286192,1.0,5500.0,5500.0,96.05,2.16,2.27,2.7,2028-05-25,0.75,2.78,1.52,0.36,4.54,61
XS2689949399,2.0,34000.0,64000.0,105.21421,3.06,3.73,2.71,2028-09-18,5.5,3.1,1.52,0.57,1.94,61
ES0000012O00,1.0,5000.0,5000.0,100.81917,2.17,2.51,4.11,2030-01-31,2.7,4.47,1.52,0.14,3.19,61
FR001400PM68,2.0,6000.0,11000.0,100.73,2.27,2.62,4.17,2030-02-25,2.75,4.54,1.51,0.21,3.78,61
XS0427291751,0.0,0.0,0.0,100.22329,0.44,0.98,0.17,2025-10-15,4.5,0.17,1.51,0.13,2.95,61
ES0000012H41,3.0,72000.0,230000.0,86.81692,2.68,2.69,5.55,2031-04-30,0.1,5.71,1.5,0.42,3.06,61
EU000A3KSXE1,5.0,25000.0,96000.0,85.78351,2.63,2.64,5.74,2031-07-04,,5.89,1.48,0.53,8.57,60
XS2181689659,6.0,10000.0,101000.0,81.02087,3.88,4.14,8.61,2035-06-05,1.75,9.81,1.48,0.71,2.55,60
EU000A1G0EJ9,0.0,0.0,0.0,99.561,1.72,1.72,0.17,2025-10-15,,0.17,1.46,0.05,4.72,60
FR001400NBC6,0.0,0.0,0.0,100.84,1.82,2.14,2.0,2027-09-24,2.5,2.11,1.45,0.4,3.34,60
ES0000012L60,5.0,17000.0,65000.0,103.66,3.16,3.64,10.67,2039-07-30,3.9,13.97,1.44,0.1,1.84,60
AT0000A2QQB6,0.0,0.0,0.0,35.03875,3.47,3.65,31.81,2071-04-20,0.7,45.71,1.43,0.26,2.66,60
EU000A3K7MW2,0.0,0.0,0.0,97.00667,2.23,2.44,4.05,2029-12-04,1.625,4.31,1.42,0.25,3.19,60
EU000A3K4D74,2.0,50000.0,80000.0,99.3,3.01,3.43,10.17,2038-10-04,3.375,13.15,1.42,0.27,4.32,60
ES0000012G00,1.0,30000.0,30000.0,53.52021,3.78,3.97,19.95,2050-10-31,1.0,25.23,1.41,0.53,3.43,60
NL0015031501,2.0,19174.0,29174.0,97.33,1.96,1.96,1.39,2027-01-15,,1.42,1.4,0.62,2.24,60
DE0001102614,2.0,50546.0,70546.0,73.63034,2.96,3.26,19.93,2053-08-15,1.8,28.02,1.39,0.46,7.68,60
