,Numero Contratti,Volume Ultimo,Volume totale,Prezzo ufficiale,Rendimento effettivo a scadenza netto,Rendimento effettivo a scadenza lordo,Duration modificata,Scadenza,Tasso Cedola su base Annua,anni_scadenza,median_monthly_volume_million,min_monthly_volume_million,max_monthly_volume_million,ratings
IT0005627853,30.0,45000.0,1053000.0,99.37543,1.63,1.93,0.33,2025-12-12,,0.33,123.33,49.95,493.25,96
AT0000A2HLC4,180.0,46000.0,8901000.0,30.89466,2.88,3.15,37.69,2020-06-30,0.85,-5.13,122.0,21.14,208.32,96
IT0005566408,4.0,1000.0,102000.0,105.48072,1.93,2.46,3.19,2029-02-01,4.1,3.47,119.16,7.89,165.04,96
IT0005560948,14.0,18000.0,1236000.0,106.77958,2.83,3.34,6.96,2034-03-01,,8.55,119.14,21.17,181.08,96
IT0005497000,61.0,15000.0,1508000.0,101.09529,2.56,2.96,3.32,2030-06-28,,4.87,116.42,25.03,198.08,95
IT0005654642,166.0,10000.0,6786000.0,99.64281,2.46,2.81,4.67,2030-10-01,2.7,5.13,116.1,96.03,186.2,95
IT0005517195,39.0,1000.0,695000.0,101.57526,2.28,2.67,2.28,2028-11-22,,3.28,115.96,18.91,242.71,95
IT0005177909,95.0,20000.0,7345000.0,88.15593,3.29,3.6,9.31,2036-09-01,,11.06,115.79,39.97,160.11,95
IT0005595803,17.0,12000.0,1667000.0,102.90213,2.51,2.95,5.25,2031-07-15,3.45,5.92,114.7,33.71,232.61,95
IT0005340929,15.0,1000.0,881000.0,101.51634,1.98,2.34,3.09,2028-12-01,,3.3,114.65,12.97,169.84,95
IT0005519787,22.0,14000.0,2789000.0,105.09299,2.14,2.61,3.93,2029-12-15,,4.34,113.34,16.48,224.16,95
IT0005584856,11.0,24000.0,471000.0,104.07527,2.9,3.38,7.36,2034-07-01,3.85,8.88,113.13,46.53,187.5,95
IT0005565400,106.0,5000.0,2545000.0,105.34687,2.08,2.61,2.89,2028-10-10,4.1,3.16,112.76,24.42,165.13,95
IT0005024234,22.0,4000.0,1191000.0,103.97639,2.16,2.6,4.08,2030-03-01,,4.55,111.82,7.3,164.63,95
IT0005436693,57.0,16000.0,7503000.0,87.59205,2.82,2.9,5.7,2031-08-01,,5.97,108.88,41.74,151.94,95
IT0005467482,35.0,10000.0,1373000.0,93.50395,2.34,2.41,3.39,2029-02-15,,3.51,108.24,15.91,188.13,94
IT0005634800,100.0,10000.0,1991000.0,100.69258,2.8,3.21,6.52,2033-02-25,2.85,7.54,107.95,38.39,179.07,94
IT0005402117,50.0,1000.0,3685000.0,81.7622,3.37,3.58,9.32,2036-03-01,,10.55,107.59,23.01,147.07,94
FR0014001NN8,221.0,1122.0,12218424.0,26.18214,3.88,4.04,33.44,2072-05-25,0.5,46.81,106.02,31.84,244.3,94
IT0005596470,44.0,9000.0,2532000.0,103.71783,3.21,3.72,9.35,2037-10-30,4.05,12.22,105.38,60.28,298.01,94
IT0005650574,16.0,172000.0,1191000.0,98.51907,1.76,2.01,0.74,2026-05-14,,0.75,102.18,13.61,336.36,94
IT0005637399,22.0,50000.0,1215000.0,101.00747,2.38,2.75,4.45,2030-07-01,2.95,4.88,101.12,6.63,166.88,94
IT0005508590,15.0,25000.0,589000.0,105.39183,2.9,3.4,7.84,2035-04-30,,9.72,98.72,27.96,164.69,94
IT0005532723,51.0,3000.0,1281000.0,102.47772,2.07,2.54,1.8,2028-03-14,,2.58,98.6,15.58,264.52,94
IT0005466013,46.0,17000.0,3209000.0,87.34402,2.9,3.04,6.38,2032-06-01,,6.8,98.04,32.32,133.15,94
IT0005544082,10.0,162000.0,897000.0,107.99377,2.75,3.28,6.75,2033-11-01,,8.22,97.23,22.96,162.28,93
IT0005594483,59.0,22000.0,1297000.0,103.64326,2.45,2.91,4.28,2030-05-14,3.35,4.75,94.85,24.86,176.33,93
IT0005518128,21.0,30000.0,932000.0,108.39554,2.68,3.21,6.4,2033-05-01,,7.72,94.68,22.05,212.99,93
IT0005433690,23.0,17000.0,662000.0,95.10019,2.19,2.23,2.52,2028-03-15,,2.59,93.98,17.12,153.82,93
IT0005240830,32.0,19000.0,485000.0,100.2686,1.79,2.09,1.73,2027-06-01,,1.8,86.33,9.91,174.56,93
IT0005611659,23.0,15000.0,1325000.0,99.84943,,,,2025-09-12,,0.08,85.43,43.73,476.1,93
IT0005323032,42.0,33000.0,1439000.0,99.61663,1.91,2.17,2.37,2028-02-01,,2.47,84.64,25.83,156.82,93
IT0005383309,19.0,19000.0,560000.0,94.54914,2.46,2.64,4.36,2030-04-01,,4.63,84.52,21.5,123.87,93
IT0005090318,0.0,0.0,0.0,,,,,,,,83.32,43.19,143.78,93
IT0005445306,31.0,34000.0,1428000.0,95.01705,2.2,2.29,2.84,2028-07-15,,2.92,82.74,17.81,146.16,93
IT0005332835,38.0,1000.0,1257000.0,99.94096,2.34,2.66,0.56,2026-05-21,,0.77,81.88,15.39,153.19,92
IT0005403396,37.0,27000.0,1922000.0,92.01204,2.57,2.71,4.73,2030-08-01,,4.97,80.92,30.83,125.56,92
IT0005127086,29.0,35000.0,1416000.0,99.99879,1.76,2.01,0.3,2025-12-01,,0.3,79.78,22.61,209.88,92
IT0005521981,13.0,16000.0,1380000.0,102.88631,1.85,2.28,2.46,2028-04-01,,2.63,78.13,9.8,193.75,92
IT0005542359,6.0,12000.0,704000.0,106.34528,2.43,2.92,5.37,2031-10-30,,6.21,77.13,21.83,141.92,92
IT0005643009,14.0,65000.0,854000.0,99.74693,1.71,1.99,0.13,2025-09-30,,0.13,76.34,34.64,140.94,92
IT0005413171,23.0,2000.0,301000.0,94.64201,2.55,2.77,4.94,2030-12-01,,5.3,74.49,15.51,181.21,92
IT0005580094,24.0,9000.0,1486000.0,103.39735,2.44,2.87,4.85,2031-02-15,3.5,5.51,74.28,23.67,154.88,92
IT0005624447,0.0,0.0,0.0,,,,,,,,74.03,24.94,166.41,92
IT0005327306,0.0,0.0,0.0,,,,,,,,73.14,23.48,157.98,92
IT0005599474,0.0,0.0,0.0,,,,,,,,73.12,5.85,127.81,91
IT0005493298,0.0,0.0,0.0,,,,,,,,68.77,9.73,121.12,91
IT0001278511,28.0,9000.0,2488997.0,110.99524,1.89,2.51,3.72,2029-11-01,,4.22,67.72,9.52,120.85,91
IT0005425761,104.0,13000.0,2154000.0,95.27764,2.27,2.38,3.15,2028-11-17,,3.26,66.38,15.26,164.65,91
IT0005094088,28.0,5000.0,745000.0,92.26462,2.79,3.01,5.99,2032-03-01,,6.55,64.65,16.06,128.92,91
IT0005595605,0.0,0.0,0.0,,,,,,,,63.51,16.78,106.89,91
IT0005415291,80.0,1000.0,1206000.0,93.9528,2.58,2.76,4.64,2030-07-14,,4.92,62.99,21.72,74.1,91
IT0005557084,31.0,20000.0,565000.0,100.19011,1.59,2.03,0.13,2025-09-29,,0.13,62.79,10.02,100.75,91
IT0005640666,19.0,98000.0,781000.0,98.85539,1.72,2.02,0.57,2026-03-13,,0.58,61.25,22.46,356.28,91
IT0005449969,17.0,400000.0,3179000.0,88.68622,2.83,2.96,5.93,2031-12-01,,6.3,60.7,19.13,84.48,91
IT0005603342,0.0,0.0,0.0,,,,,,,,60.62,8.5,97.53,90
IT0005408502,0.0,0.0,0.0,,,,,,,,60.38,33.81,75.58,90
IT0003535157,21.0,31000.0,358000.0,113.05913,2.77,3.37,7.2,2034-08-01,,8.97,59.79,15.12,127.03,90
IT0005416570,29.0,4000.0,1441000.0,97.66694,2.0,2.12,2.02,2027-09-15,,2.09,59.19,13.16,114.4,90
IT0005274805,48.0,39000.0,1623000.0,99.91417,1.83,2.1,1.9,2027-08-01,,1.96,58.95,16.24,168.3,90
IT0005419848,31.0,20000.0,1644000.0,99.30862,1.9,1.97,0.47,2026-02-01,,0.47,57.72,30.36,133.88,90
IT0005622128,1.0,5000.0,5000.0,101.008,1.9,2.24,2.06,2027-10-15,2.7,2.17,57.49,1.86,241.99,90
IT0005631533,12.0,65000.0,795000.0,99.18811,1.63,1.95,0.42,2026-01-14,,0.42,56.9,11.38,495.24,90
IT0005617367,17.0,15000.0,1403000.0,99.67312,1.6,1.95,0.17,2025-10-14,,0.17,56.13,22.46,472.51,90
IT0005442097,75.0,1000.0,2885000.0,79.12671,3.62,3.85,10.25,2037-04-27,,11.71,55.7,20.58,64.83,90
IT0005547812,1.0,4000.0,4000.0,103.78048,3.47,3.99,8.5,2039-05-15,,13.76,54.43,3.28,127.69,90
IT0005484552,17.0,3000.0,646000.0,98.45703,1.94,2.08,1.58,2027-04-01,,1.63,53.65,16.5,127.87,89
IT0003256820,40.0,7000.0,2295000.0,117.1753,2.51,3.18,6.09,2033-02-01,,7.47,51.49,41.87,172.75,89
IT0005500068,15.0,16000.0,245000.0,100.98772,1.88,2.22,2.19,2027-12-01,,2.3,51.34,4.95,184.91,89
IT0005645509,25.0,5000.0,2215000.0,98.6746,1.75,2.02,0.66,2026-04-14,,0.67,50.37,15.6,303.75,89
ES0000012K38,0.0,0.0,0.0,,,,,,,,49.91,27.87,82.25,89
IT0005345183,27.0,90000.0,714000.0,100.11224,1.71,2.01,0.26,2025-11-15,,0.25,49.88,10.71,92.3,89
IT0001444378,14.0,1000.0,148000.0,116.86316,2.13,2.83,4.79,2031-05-01,,5.72,48.85,17.75,102.7,89
IT0005621401,18.0,287000.0,547000.0,99.50631,1.64,1.98,0.25,2025-11-14,,0.25,48.8,11.36,457.91,89
IT0005610297,0.0,0.0,0.0,,,,,,,,45.77,5.29,244.63,89
IT0005647273,19.0,45000.0,718000.0,99.96581,4.05,4.51,15.34,2056-05-15,2.55,30.77,45.19,8.98,62.56,89
IT0005599904,7.0,70000.0,161000.0,102.3919,1.75,2.18,1.83,2027-07-15,3.45,1.92,42.86,3.22,110.32,88
IT0004889033,0.0,0.0,0.0,107.08838,1.79,2.37,2.76,2028-09-01,,3.05,41.21,4.14,95.57,88
IT0005633786,0.0,0.0,0.0,,,,,,,,41.11,20.16,115.69,88
IT0005588881,5.0,250000.0,415000.0,99.45815,3.31,3.77,7.07,2036-05-15,1.8,10.76,40.59,13.52,96.39,88
IT0005422891,18.0,7000.0,1231000.0,90.08908,2.74,2.86,5.32,2031-04-01,,5.63,40.29,7.78,73.04,88
IT0005652554,11.0,12000.0,768000.0,99.42566,1.74,1.99,0.29,2025-11-28,,0.29,39.79,18.08,94.98,88
IT0005388175,32.0,4000.0,974000.0,99.82868,2.08,2.37,1.58,2027-10-28,,2.21,38.83,15.3,64.85,88
IT0005210650,29.0,15000.0,573000.0,99.07978,1.81,1.97,1.26,2026-12-01,,1.3,38.54,19.56,67.03,88
IT0005514473,24.0,30000.0,637000.0,100.61239,1.6,2.03,0.42,2026-01-15,,0.42,38.25,15.14,64.79,88
IT0001174611,16.0,3000.0,784000.0,109.33493,1.42,2.19,2.03,2027-11-01,,2.22,37.8,5.26,90.05,88
IT0005660052,82.0,18000.0,2385000.0,99.67402,2.16,2.47,3.22,2029-01-15,2.35,3.42,36.86,27.1,46.61,87
IT0005548315,12.0,5000.0,256000.0,104.21056,1.88,2.35,2.77,2028-08-01,,2.97,36.05,6.66,100.23,87
IT0005466351,55.0,36000.0,1444000.0,87.43108,3.08,3.28,7.54,2033-11-16,,8.26,35.04,12.15,40.18,87
IT0005482994,18.0,17000.0,2113000.0,90.1638,2.89,3.32,5.61,2033-05-15,,7.76,34.54,6.42,73.97,87
XS2908645265,91.0,39000.0,1184000.0,95.573,5.65,6.42,10.41,2044-09-24,6.0,19.13,33.59,5.77,64.2,87
IT0005370306,23.0,6000.0,896000.0,100.09658,1.74,2.01,0.9,2026-07-15,,0.92,33.54,10.47,71.66,87
IT0005170839,29.0,5000.0,900000.0,99.722,1.76,1.96,0.78,2026-06-01,,0.8,32.87,9.73,56.6,87
IT0005390874,28.0,143000.0,3082000.0,98.42551,1.88,2.0,1.39,2027-01-15,,1.42,32.52,15.64,134.76,87
IT0005436701,53.0,10000.0,4086000.0,60.53651,3.83,4.11,18.07,2051-05-15,,25.77,31.98,8.5,45.69,87
IT0005635351,26.0,50000.0,827000.0,99.01075,1.7,1.99,0.5,2026-02-13,,0.5,29.96,16.0,351.29,87
IT0003745541,5.0,500000.0,1148000.0,107.79863,2.64,3.47,6.54,2035-09-15,,10.09,29.5,8.06,51.54,86
IT0005568719,39.0,14000.0,452000.0,103.5777,2.32,2.77,1.16,2029-12-04,5.0,4.31,29.44,9.19,50.57,86
IT0005641029,22.0,10000.0,3801000.0,100.897,2.01,2.35,2.68,2028-06-15,2.65,2.84,28.24,8.62,71.93,86
AT0000A1XML2,28.0,193000.0,813000.0,59.3188,3.23,3.64,27.23,2017-09-20,2.1,-7.9,28.12,5.92,71.24,86
IT0005580045,9.0,10000.0,76000.0,101.20026,1.76,2.13,1.43,2027-02-15,2.95,1.51,27.57,5.29,80.47,86
